protein_id	suprfam_id	description	Evals
Eucgr.E00254.1.p	0047978	0047978[Phosphoenolpyruvate/pyruvate domain]	0047978[1.2e-07]
Eucgr.E00257.1.p		-	-
Eucgr.E00263.1.p	0047322	0047322[Glutathione synthetase ATP-binding domain-like]	0047322[3.26e-11]
Eucgr.E00266.1.p		-	-
Eucgr.E00266.2.p		-	-
Eucgr.E00266.3.p		-	-
Eucgr.E00273.1.p	0043065	0043065[HLH, helix-loop-helix DNA-binding domain]	0043065[2.36e-16]
Eucgr.E00294.1.p	0048258	0048258[Barwin-like endoglucanases]	0048258[1.43e-13]
Eucgr.E00299.1.p		-	-
Eucgr.E00312.1.p	0048648,0050358,0054395	0048648[HCP-like]; 0050358[TPR-like]; 0054395[TPR-like]	0048648[2.88e-05]; 0050358[5.18e-07]; 0054395[0.00243]
Eucgr.E00325.1.p	0039338	0039338[Trimeric LpxA-like enzymes]	0039338[0.00456]
Eucgr.E00325.2.p	0039338	0039338[Trimeric LpxA-like enzymes]	0039338[0.00456]
Eucgr.E00325.3.p	0039338	0039338[Trimeric LpxA-like enzymes]	0039338[0.00408]
Eucgr.E00339.1.p		-	-
Eucgr.E00367.1.p	0050581	0050581[PapD-like]	0050581[1.64e-36]
Eucgr.E00374.1.p		-	-
Eucgr.E00374.2.p		-	-
Eucgr.E00374.3.p		-	-
Eucgr.E00383.1.p	0046394,0047619,0048505,0053686	0046394[Outer arm dynein light chain 1]; 0047619[L domain-like]; 0048505[L domain-like]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0046394[5.62e-05]; 0047619[1.09e-27]; 0048505[3.4e-47]; 0053686[2.35e-22]
Eucgr.E00391.1.p	0053686	0053686[P-loop containing nucleoside triphosphate hydrolases]	0053686[4.08e-33]
Eucgr.E00394.1.p	0037021	0037021[alpha/beta-Hydrolases]	0037021[6.39e-75]
Eucgr.E00394.2.p	0037021	0037021[alpha/beta-Hydrolases]	0037021[1.06e-75]
Eucgr.E00402.1.p		-	-
Eucgr.E00402.2.p		-	-
Eucgr.E00412.1.p		-	-
Eucgr.E00416.1.p	0053355,0053354	0053355[Terpenoid synthases]; 0053354[Terpenoid cyclases/Protein prenyltransferases]	0053355[1.09e-41]; 0053354[9.94e-20]
Eucgr.E00421.1.p		-	-
Eucgr.E00425.1.p	0038225	0038225[Pectin lyase-like]	0038225[2.55e-84]
Eucgr.E00437.1.p	0051010,0043074,0041848	0051010[L domain-like]; 0043074[Protein kinase-like (PK-like)]; 0041848[L domain-like]	0051010[1.7e-48]; 0043074[1.83e-49]; 0041848[1.7e-59]
Eucgr.E00442.1.p	0035371,0048505,0041848	0035371[Protein kinase-like (PK-like)]; 0048505[L domain-like]; 0041848[L domain-like]	0035371[1.35e-70]; 0048505[1.47e-53]; 0041848[1.16e-56]
Eucgr.E00444.1.p	0053356,0047277	0053356[NAD(P)-binding Rossmann-fold domains]; 0047277[LDH C-terminal domain-like]	0053356[3.7e-63]; 0047277[6.49e-53]
Eucgr.E00449.1.p		-	-
Eucgr.E00452.1.p		-	-
Eucgr.E00454.1.p	0052963	0052963[FAD/NAD(P)-binding domain]	0052963[4.01e-50]
Eucgr.E00462.1.p	0046658	0046658[Terpenoid synthases]	0046658[6.76e-50]
Eucgr.E00469.1.p		-	-
Eucgr.E00472.1.p	0045249	0045249[beta-beta-alpha zinc fingers]	0045249[4.82e-05]
Eucgr.E00477.1.p		-	-
Eucgr.E00477.2.p		-	-
Eucgr.E00480.1.p	0044554	0044554[Formin homology 2 domain (FH2 domain)]	0044554[0.00133]
Eucgr.E00486.1.p	0053051	0053051[AF0104/ALDC/Ptd012-like]	0053051[1.36e-32]
Eucgr.E00496.1.p		-	-
Eucgr.E00507.1.p	0038477	0038477[Protein kinase-like (PK-like)]	0038477[1.04e-53]
Eucgr.E00514.1.p		-	-
Eucgr.E00518.1.p	0052026	0052026[ARM repeat]	0052026[0.00896]
Eucgr.E00526.1.p	0042480	0042480[MFS general substrate transporter]	0042480[3.66e-28]
Eucgr.E00537.1.p	0036859	0036859[Cytochrome P450]	0036859[3.27e-93]
Eucgr.E00540.1.p	0053209	0053209[Rhomboid-like]	0053209[7.72e-43]
Eucgr.E00540.2.p	0053209	0053209[Rhomboid-like]	0053209[3.01e-40]
Eucgr.E00541.1.p	0044514	0044514[NAC domain]	0044514[4.84e-27]
Eucgr.E00546.1.p	0035371,0050924	0035371[Protein kinase-like (PK-like)]; 0050924[alpha-D-mannose-specific plant lectins]	0035371[7.58e-66]; 0050924[4.32e-18]
Eucgr.E00549.1.p	0035371,0050924	0035371[Protein kinase-like (PK-like)]; 0050924[alpha-D-mannose-specific plant lectins]	0035371[9.41e-66]; 0050924[1.31e-24]
Eucgr.E00554.1.p		-	-
Eucgr.E00564.1.p		-	-
Eucgr.E00581.1.p	0035371,0043409	0035371[Protein kinase-like (PK-like)]; 0043409[Acetyl-CoA synthetase-like]	0035371[8.63e-72]; 0043409[4.58e-71]
Eucgr.E00596.1.p		-	-
Eucgr.E00629.1.p	0047917,0045530	0047917[YVTN repeat-like/Quinoprotein amine dehydrogenase]; 0045530[POZ domain]	0047917[3.14e-14]; 0045530[8.83e-16]
Eucgr.E00633.1.p	0050087	0050087[RING/U-box]	0050087[6.36e-17]
Eucgr.E00645.1.p		-	-
Eucgr.E00652.1.p	0054833	0054833[Protein kinase-like (PK-like)]	0054833[2.83e-97]
Eucgr.E00652.2.p	0054833	0054833[Protein kinase-like (PK-like)]	0054833[6.07e-80]
Eucgr.E00661.1.p		-	-
Eucgr.E00662.1.p	0049047	0049047[HMA, heavy metal-associated domain]	0049047[6.38e-05]
Eucgr.E00669.1.p		-	-
Eucgr.E00678.1.p		-	-
Eucgr.E00684.1.p	0053686	0053686[P-loop containing nucleoside triphosphate hydrolases]	0053686[2.56e-45]
Eucgr.E00689.1.p		-	-
Eucgr.E00710.1.p		-	-
Eucgr.E00726.1.p		-	-
Eucgr.E00730.1.p	0048505,0053686	0048505[L domain-like]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0048505[8.39e-26]; 0053686[6.87e-64]
Eucgr.E00747.1.p		-	-
Eucgr.E00751.1.p		-	-
Eucgr.E00758.1.p		-	-
Eucgr.E00792.1.p	0051044	0051044[LEA14-like]	0051044[9.02e-06]
Eucgr.E00796.1.p	0051044	0051044[LEA14-like]	0051044[0.00128]
Eucgr.E00801.1.p	0051044	0051044[LEA14-like]	0051044[5.62e-06]
Eucgr.E00805.1.p		-	-
Eucgr.E00805.2.p		-	-
Eucgr.E00805.3.p		-	-
Eucgr.E00805.4.p		-	-
Eucgr.E00805.5.p		-	-
Eucgr.E00808.1.p		-	-
Eucgr.E00815.1.p		-	-
Eucgr.E00828.1.p	0053834	0053834[V-type ATPase subunit E-like]	0053834[6.67e-30]
Eucgr.E00832.1.p	0035371,0041848	0035371[Protein kinase-like (PK-like)]; 0041848[L domain-like]	0035371[3.74e-55]; 0041848[2.65e-35]
Eucgr.E00832.2.p	0035371,0041848	0035371[Protein kinase-like (PK-like)]; 0041848[L domain-like]	0035371[3.74e-55]; 0041848[2.65e-35]
Eucgr.E00832.3.p	0035371,0041848	0035371[Protein kinase-like (PK-like)]; 0041848[L domain-like]	0035371[3.74e-55]; 0041848[2.65e-35]
Eucgr.E00837.1.p		-	-
Eucgr.E00841.1.p		-	-
Eucgr.E00850.1.p	0050605	0050605[WRKY DNA-binding domain]	0050605[6.02e-26]
Eucgr.E00850.2.p	0050605	0050605[WRKY DNA-binding domain]	0050605[3.79e-26]
Eucgr.E00859.1.p	0052014	0052014[RNI-like]	0052014[5.1e-38]
Eucgr.E00869.1.p		-	-
Eucgr.E00870.1.p	0046390	0046390[PH domain-like]	0046390[9.48e-10]
Eucgr.E00870.2.p	0046390	0046390[PH domain-like]	0046390[3.02e-11]
Eucgr.E00870.3.p	0046390	0046390[PH domain-like]	0046390[2.93e-11]
Eucgr.E00877.1.p	0047974	0047974[alpha/beta-Hydrolases]	0047974[1.38e-13]
Eucgr.E00882.1.p	0042120,0054901	0042120[F-box domain]; 0054901[NTF2-like]	0042120[4.09e-15]; 0054901[4.24e-27]
Eucgr.E00889.1.p		-	-
Eucgr.E00895.1.p		-	-
Eucgr.E00916.1.p		-	-
Eucgr.E00918.1.p	0048505,0053686	0048505[L domain-like]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0048505[5.33e-26]; 0053686[7.43e-10]
Eucgr.E00921.1.p		-	-
Eucgr.E01022.1.p	0050609	0050609[CAD & PB1 domains]	0050609[1.08e-22]
Eucgr.E01025.1.p	0037148,0050739	0037148[Carbon-nitrogen hydrolase]; 0050739[Adenine nucleotide alpha hydrolases-like]	0037148[5.89e-43]; 0050739[2.79e-59]
Eucgr.E01029.1.p	0048286	0048286[NAD(P)-binding Rossmann-fold domains]	0048286[9.49e-06]
Eucgr.E01032.1.p		-	-
Eucgr.E01042.1.p	0035101	0035101[HLH, helix-loop-helix DNA-binding domain]	0035101[7.98e-18]
Eucgr.E01044.1.p	0038930	0038930[Ribosomal protein S18]	0038930[3.27e-15]
Eucgr.E01051.1.p	0049473	0049473[Calcium ATPase, transmembrane domain M]	0049473[0.00327]
Eucgr.E01052.1.p	0053574	0053574[Sec2 N-terminal region]	0053574[6.8e-05]
Eucgr.E01056.1.p		-	-
Eucgr.E01063.1.p	0036743,0046114	0036743[GroES-like]; 0046114[NAD(P)-binding Rossmann-fold domains]	0036743[8.07e-64]; 0046114[2.2e-43]
Eucgr.E01066.1.p		-	-
Eucgr.E01068.1.p	0048983	0048983[UDP-Glycosyltransferase/glycogen phosphorylase]	0048983[1.4e-116]
Eucgr.E01068.2.p	0048983	0048983[UDP-Glycosyltransferase/glycogen phosphorylase]	0048983[1.4e-116]
Eucgr.E01068.3.p	0048983	0048983[UDP-Glycosyltransferase/glycogen phosphorylase]	0048983[1.4e-116]
Eucgr.E01068.4.p	0048983	0048983[UDP-Glycosyltransferase/glycogen phosphorylase]	0048983[1.4e-116]
Eucgr.E01092.1.p	0047910,0040327	0047910["Winged helix" DNA-binding domain]; 0040327[S-adenosyl-L-methionine-dependent methyltransferases]	0047910[1.36e-23]; 0040327[1.36e-57]
Eucgr.E01092.2.p	0046837,0040327	0046837["Winged helix" DNA-binding domain]; 0040327[S-adenosyl-L-methionine-dependent methyltransferases]	0046837[1.74e-13]; 0040327[1.23e-52]
Eucgr.E01110.1.p	0048863,0050001	0048863[NAD(P)-binding Rossmann-fold domains]; 0050001[GroES-like]	0048863[7.02e-35]; 0050001[2.2e-46]
Eucgr.E01110.2.p	0048863,0050001	0048863[NAD(P)-binding Rossmann-fold domains]; 0050001[GroES-like]	0048863[7.02e-35]; 0050001[2.2e-46]
Eucgr.E01120.1.p	0051542	0051542[NAD(P)-binding Rossmann-fold domains]	0051542[8e-43]
Eucgr.E01131.1.p	0038477	0038477[Protein kinase-like (PK-like)]	0038477[6.47e-61]
Eucgr.E01143.1.p		-	-
Eucgr.E01148.1.p	0043269	0043269[Protein kinase-like (PK-like)]	0043269[8.23e-62]
Eucgr.E01151.1.p	0038302	0038302[ARM repeat]	0038302[4.11e-85]
Eucgr.E01151.2.p	0038302	0038302[ARM repeat]	0038302[4.11e-85]
Eucgr.E01154.1.p		-	-
Eucgr.E01154.2.p		-	-
Eucgr.E01167.1.p	0042676	0042676[CoA-dependent acyltransferases]	0042676[0.00345]
Eucgr.E01172.1.p	0053131	0053131[UDP-Glycosyltransferase/glycogen phosphorylase]	0053131[3.93e-62]
Eucgr.E01188.1.p	0046053	0046053[Actin-like ATPase domain]	0046053[1.14e-31]
Eucgr.E01203.1.p		-	-
Eucgr.E01230.1.p		-	-
Eucgr.E01231.1.p		-	-
Eucgr.E01244.1.p	0053693	0053693[UDP-Glycosyltransferase/glycogen phosphorylase]	0053693[6.85e-85]
Eucgr.E01249.1.p		-	-
Eucgr.E01249.2.p		-	-
Eucgr.E01249.3.p		-	-
Eucgr.E01249.4.p		-	-
Eucgr.E01252.1.p	0039935	0039935[NAD(P)-binding Rossmann-fold domains]	0039935[8.49e-61]
Eucgr.E01264.1.p	0048059	0048059[L domain-like]	0048059[0.000187]
Eucgr.E01271.1.p	0048505	0048505[L domain-like]	0048505[7.99e-31]
Eucgr.E01283.1.p		-	-
Eucgr.E01318.1.p	0054424	0054424[WD40 repeat-like]	0054424[1.19e-14]
Eucgr.E01322.1.p	0037384	0037384[P-loop containing nucleoside triphosphate hydrolases]	0037384[9.85e-52]
Eucgr.E01335.1.p	0038020	0038020[Nucleotide-diphospho-sugar transferases]	0038020[2.56e-70]
Eucgr.E01335.2.p	0038020	0038020[Nucleotide-diphospho-sugar transferases]	0038020[2.56e-70]
Eucgr.E01339.1.p	0051306,0038057	0051306[Formate/glycerate dehydrogenase catalytic domain-like]; 0038057[NAD(P)-binding Rossmann-fold domains]	0051306[1.79e-22]; 0038057[1.01e-48]
Eucgr.E01342.1.p	0038057	0038057[NAD(P)-binding Rossmann-fold domains]	0038057[8.82e-50]
Eucgr.E01349.1.p	0051306,0038057	0051306[Formate/glycerate dehydrogenase catalytic domain-like]; 0038057[NAD(P)-binding Rossmann-fold domains]	0051306[5.1e-22]; 0038057[9.67e-46]
Eucgr.E01352.1.p	0047761,0049561,0040941	0047761[WD40 repeat-like]; 0049561[PH domain-like]; 0040941[BEACH domain]	0047761[6.92e-26]; 0049561[1.35e-22]; 0040941[1.44e-125]
Eucgr.E01352.2.p	0047761,0049561,0040941	0047761[WD40 repeat-like]; 0049561[PH domain-like]; 0040941[BEACH domain]	0047761[6.92e-26]; 0049561[1.35e-22]; 0040941[1.44e-125]
Eucgr.E01352.3.p	0048921,0049561,0049560	0048921[ARM repeat]; 0049561[PH domain-like]; 0049560[BEACH domain]	0048921[0.00719]; 0049561[9.22e-23]; 0049560[7.98e-32]
Eucgr.E01361.1.p	0044092	0044092[Cytochrome P450]	0044092[4.98e-102]
Eucgr.E01373.1.p		-	-
Eucgr.E01374.1.p	0047619,0048505,0041848	0047619[L domain-like]; 0048505[L domain-like]; 0041848[L domain-like]	0047619[1.09e-50]; 0048505[3.74e-36]; 0041848[3.4e-55]
Eucgr.E01385.1.p	0049235	0049235[Osmotin, thaumatin-like protein]	0049235[2.22e-71]
Eucgr.E01396.1.p		-	-
Eucgr.E01404.1.p	0054586	0054586[Ribosomal protein S3 C-terminal domain]	0054586[1.06e-22]
Eucgr.E01416.1.p	0043422	0043422[N-terminal nucleophile aminohydrolases (Ntn hydrolases)]	0043422[2.85e-54]
Eucgr.E01416.2.p	0039156	0039156[N-terminal nucleophile aminohydrolases (Ntn hydrolases)]	0039156[1.11e-25]
Eucgr.E01424.1.p	0041050	0041050[Sec1/munc18-like (SM) proteins]	0041050[8.24e-141]
Eucgr.E01427.1.p	0051183	0051183[NAD(P)-binding Rossmann-fold domains]	0051183[4.45e-38]
Eucgr.E01452.1.p	0049184	0049184[Plant invertase/pectin methylesterase inhibitor]	0049184[2.62e-21]
Eucgr.E01468.1.p	0038225,0050874	0038225[Pectin lyase-like]; 0050874[Plant invertase/pectin methylesterase inhibitor]	0038225[4.71e-109]; 0050874[1.11e-31]
Eucgr.E01474.1.p	0035973	0035973[HMG-box]	0035973[4.32e-08]
Eucgr.E01474.2.p	0035973	0035973[HMG-box]	0035973[3.91e-06]
Eucgr.E01488.1.p		-	-
Eucgr.E01491.1.p		-	-
Eucgr.E01501.1.p	0053822	0053822[B-box zinc-binding domain]	0053822[3.89e-05]
Eucgr.E01515.1.p		-	-
Eucgr.E01518.1.p		-	-
Eucgr.E01545.1.p		-	-
Eucgr.E01545.2.p		-	-
Eucgr.E01562.1.p	0054538	0054538[UDP-Glycosyltransferase/glycogen phosphorylase]	0054538[2.42e-130]
Eucgr.E01575.1.p		-	-
Eucgr.E01594.1.p		-	-
Eucgr.E01601.1.p		-	-
Eucgr.E01609.1.p		-	-
Eucgr.E01612.1.p		-	-
Eucgr.E01626.1.p	0048258,0041176	0048258[Barwin-like endoglucanases]; 0041176[PHL pollen allergen]	0048258[1.08e-24]; 0041176[6.41e-26]
Eucgr.E01627.1.p		-	-
Eucgr.E01631.1.p	0047806,0050461,0051994	0047806[Eukaryotic type KH-domain (KH-domain type I)]; 0050461[Eukaryotic type KH-domain (KH-domain type I)]; 0051994[Eukaryotic type KH-domain (KH-domain type I)]	0047806[1.23e-14]; 0050461[8.62e-16]; 0051994[4.25e-13]
Eucgr.E01631.2.p	0047806,0050461,0051994	0047806[Eukaryotic type KH-domain (KH-domain type I)]; 0050461[Eukaryotic type KH-domain (KH-domain type I)]; 0051994[Eukaryotic type KH-domain (KH-domain type I)]	0047806[1.46e-14]; 0050461[8.47e-16]; 0051994[5.01e-13]
Eucgr.E01638.1.p		-	-
Eucgr.E01662.1.p	0049359	0049359[Caspase-like]	0049359[5.02e-05]
Eucgr.E01662.2.p	0049359	0049359[Caspase-like]	0049359[4.71e-05]
Eucgr.E01664.1.p	0051485,0051486	0051485[P-loop containing nucleoside triphosphate hydrolases]; 0051486[P-loop containing nucleoside triphosphate hydrolases]	0051485[8.13e-44]; 0051486[3.55e-31]
Eucgr.E01680.1.p	0036818	0036818[Epsilon subunit of F1F0-ATP synthase N-terminal domain]	0036818[5.75e-15]
Eucgr.E01684.1.p	0048640,0049473	0048640[Ankyrin repeat]; 0049473[Calcium ATPase, transmembrane domain M]	0048640[0.000119]; 0049473[0.00418]
Eucgr.E01696.1.p		-	-
Eucgr.E01697.1.p	0036818	0036818[Epsilon subunit of F1F0-ATP synthase N-terminal domain]	0036818[8.24e-20]
Eucgr.E01722.1.p	0046350,0035468	0046350[PRTase-like]; 0035468[PRTase-like]	0046350[0.00799]; 0035468[2.97e-61]
Eucgr.E01722.2.p	0051755,0036475	0051755[PRTase-like]; 0036475[PRTase-like]	0051755[5.26e-37]; 0036475[4.9e-52]
Eucgr.E01726.1.p	0042471	0042471[P-loop containing nucleoside triphosphate hydrolases]	0042471[8.91e-28]
Eucgr.E01731.1.p	0052608	0052608[ClpP/crotonase]	0052608[1.04e-33]
Eucgr.E01739.1.p	0050444	0050444[ClpP/crotonase]	0050444[1.12e-57]
Eucgr.E01740.1.p	0050444	0050444[ClpP/crotonase]	0050444[2.89e-61]
Eucgr.E01740.2.p	0050444	0050444[ClpP/crotonase]	0050444[2.25e-58]
Eucgr.E01758.1.p	0043898	0043898[Acid proteases]	0043898[1.15e-90]
Eucgr.E01762.1.p		-	-
Eucgr.E01772.1.p		-	-
Eucgr.E01777.1.p		-	-
Eucgr.E01779.1.p	0037066	0037066[EF-hand]	0037066[4.53e-13]
Eucgr.E01789.1.p	0038477	0038477[Protein kinase-like (PK-like)]	0038477[6.74e-82]
Eucgr.E01799.1.p	0046888	0046888[Toll/Interleukin receptor TIR domain]	0046888[1.7e-32]
Eucgr.E01803.1.p	0045974,0046888,0053686	0045974["Winged helix" DNA-binding domain]; 0046888[Toll/Interleukin receptor TIR domain]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0045974[1.99e-07]; 0046888[3.66e-30]; 0053686[2.61e-56]
Eucgr.E01819.1.p		-	-
Eucgr.E01824.1.p		-	-
Eucgr.E01863.1.p	0045974,0046888,0047132,0053686,0041848	0045974["Winged helix" DNA-binding domain]; 0046888[Toll/Interleukin receptor TIR domain]; 0047132[L domain-like]; 0053686[P-loop containing nucleoside triphosphate hydrolases]; 0041848[L domain-like]	0045974[4.9e-08]; 0046888[3.27e-32]; 0047132[1.47e-12]; 0053686[2.5e-58]; 0041848[5.44e-32]
Eucgr.E01869.1.p	0046690	0046690[Profilin (actin-binding protein)]	0046690[0.00053]
Eucgr.E01871.1.p	0048505	0048505[L domain-like]	0048505[3.4e-29]
Eucgr.E01871.2.p	0048505	0048505[L domain-like]	0048505[2.72e-29]
Eucgr.E01874.1.p	0035412,0036940	0035412[GST C-terminal domain-like]; 0036940[Thioredoxin-like]	0035412[1.67e-31]; 0036940[2.04e-11]
Eucgr.E01874.2.p	0039829,0036940	0039829[GST C-terminal domain-like]; 0036940[Thioredoxin-like]	0039829[6.13e-19]; 0036940[1.17e-11]
Eucgr.E01883.1.p		-	-
Eucgr.E01884.1.p	0052372	0052372[Cullin repeat-like]	0052372[7.32e-39]
Eucgr.E01891.1.p		-	-
Eucgr.E01904.1.p		-	-
Eucgr.E01907.1.p		-	-
Eucgr.E01919.1.p	0035558,0038477,0040112	0035558[Hairpin loop containing domain-like]; 0038477[Protein kinase-like (PK-like)]; 0040112[alpha-D-mannose-specific plant lectins]	0035558[0.0011]; 0038477[6.56e-72]; 0040112[1.44e-24]
Eucgr.E01932.1.p		-	-
Eucgr.E01947.1.p	0050582	0050582[DNA-binding pseudobarrel domain]	0050582[5.1e-17]
Eucgr.E01956.1.p		-	-
Eucgr.E01963.1.p	0049805	0049805[Retrovirus zinc finger-like domains]	0049805[9.42e-05]
Eucgr.E01963.2.p	0049805	0049805[Retrovirus zinc finger-like domains]	0049805[9.42e-05]
Eucgr.E01982.1.p	0037832	0037832[Prefoldin]	0037832[3.92e-20]
Eucgr.E01982.2.p	0037832	0037832[Prefoldin]	0037832[1.28e-16]
Eucgr.E01982.3.p	0037832	0037832[Prefoldin]	0037832[2.49e-17]
Eucgr.E01998.1.p	0048505,0053686,0042103,0046888	0048505[L domain-like]; 0053686[P-loop containing nucleoside triphosphate hydrolases]; 0042103[L domain-like]; 0046888[Toll/Interleukin receptor TIR domain]	0048505[5.61e-46]; 0053686[1.59e-51]; 0042103[8.84e-26]; 0046888[3.14e-32]
Eucgr.E02009.1.p	0044984,0044985,0042094	0044984[Cdc48 domain 2-like]; 0044985[ADC-like]; 0042094[P-loop containing nucleoside triphosphate hydrolases]	0044984[5.23e-20]; 0044985[9.69e-06]; 0042094[2.41e-61]
Eucgr.E02010.1.p		-	-
Eucgr.E02010.2.p		-	-
Eucgr.E02022.1.p		-	-
Eucgr.E02026.1.p	0043898	0043898[Acid proteases]	0043898[4.54e-73]
Eucgr.E02040.1.p	0045746,0051010,0052014	0045746[L domain-like]; 0051010[L domain-like]; 0052014[RNI-like]	0045746[1.05e-13]; 0051010[8.5e-48]; 0052014[6.75e-49]
Eucgr.E02053.1.p	0050582	0050582[DNA-binding pseudobarrel domain]	0050582[2.75e-15]
Eucgr.E02057.1.p	0050582	0050582[DNA-binding pseudobarrel domain]	0050582[2.16e-15]
Eucgr.E02066.1.p		-	-
Eucgr.E02070.1.p		-	-
Eucgr.E02079.1.p	0047027	0047027[Clavaminate synthase-like]	0047027[6.73e-63]
Eucgr.E02081.1.p		-	-
Eucgr.E02125.1.p	0048183	0048183[SET domain]	0048183[9.03e-56]
Eucgr.E02141.1.p	0045974,0046888,0053686	0045974["Winged helix" DNA-binding domain]; 0046888[Toll/Interleukin receptor TIR domain]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0045974[1.41e-13]; 0046888[9.02e-37]; 0053686[1.5e-63]
Eucgr.E02143.1.p	0045974,0048505,0053686	0045974["Winged helix" DNA-binding domain]; 0048505[L domain-like]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0045974[1.41e-16]; 0048505[1.93e-49]; 0053686[8.15e-57]
Eucgr.E02191.1.p	0046888,0047619,0053686	0046888[Toll/Interleukin receptor TIR domain]; 0047619[L domain-like]; 0053686[P-loop containing nucleoside triphosphate hydrolases]	0046888[2.35e-19]; 0047619[1.51e-43]; 0053686[1.27e-56]
Eucgr.E02194.1.p	0050397,0037738,0052014	0050397[L domain-like]; 0037738[RNI-like]; 0052014[RNI-like]	0050397[9.72e-21]; 0037738[3.53e-32]; 0052014[4.87e-50]
Eucgr.E02205.1.p		-	-
Eucgr.E02247.1.p	0047619	0047619[L domain-like]	0047619[8.42e-25]
Eucgr.E02253.1.p		-	-
Eucgr.E02277.1.p		-	-
